"","","","","","",""
"TABLE 1","","","","","",""
"","","","","","",""
"","","","ANON01","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"6","R $ 105,50","R $ 633,00","R $ 100,75","R $ 604,50","-4.500","-R $ 28,50"
"","","","","","",""
"","","","","","",""
"TABLE 2","","","","","",""
"","","","","","",""
"","","","ANON02","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"4","R $ 130,00","R $ 520,00","R $ 110,00","R $ 440,00","-15.000","-R $ 80,00"
"","","","","","",""
"","","","","","",""
"TABLE 3","","","","","",""
"","","","","","",""
"","","","ANON03","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"8","R $ 78,00","R $ 624,00","R $ 70,00","R $ 560,00","-10.000","-R $ 64,00"
"","","","","","",""
"","","","","","",""
"TABLE 4","","","","","",""
"","","","","","",""
"","","","ANON04","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"7","R $ 81,00","R $ 567,00","R $ 70,50","R $ 493,50","-13.000","-R $ 73,50"
"","","","","","",""
"","","","","","",""
"TABLE 5","","","","","",""
"","","","","","",""
"","","","ANON05","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"7","R $ 85,00","R $ 595,00","R $ 84,00","R $ 588,00","-1.000","-R $ 7,00"
"","","","","","",""
"","","","","","",""
"TABLE 6","","","","","",""
"","","","","","",""
"","","","ANON06","","",""
"Quantidade","Preço Médio","Custo Médio","Preço Mercado","Valor Mercado","% Retorno","Retorno"
"6","R $ 101,00","R $ 606,00","R $ 85,00","R $ 510,00","-15.000","-R $ 96,00"
